Not Named;Sumare;Maria;71;Maria;35;36;Campinas;Seila2;Itatiba;Seila2;68;Seila2;Itatiba;Campinas
Sumare;Neide;Americana;46;69;Itatiba;29;Americana;Americana;45;Seila2;76;Itatiba;56;Santa Barbara
Jose;23;Itatiba;Sumare;42;Americana;75;34;Seila;Neide;Itatiba;Itatiba;Seila;52;Not Named
Neide;Jose;Americana;Americana;Itatiba;Itatiba;Campinas;31;Seila2;Campinas;60;Campinas;44;Maria;Not Named
Seila2;Itatiba;Neide;Maria;30;49;Campinas;Campinas;Santa Barbara;Jose;Seila2;Campinas;Itatiba;Campinas;Not Named
Campinas;38;Santa Barbara;Americana;39;Americana;Sumare;Itatiba;Itatiba;Itatiba;11;Santa Barbara;Santa Barbara;Americana;15
Campinas;52;Itatiba;61;51;Americana;Santa Barbara;Campinas;Neide;37;Santa Barbara;49;41;Americana;Campinas
Americana;Sumare;Americana;Santa Barbara;Americana;Campinas;Neide;Seila;Not Named;Campinas;Sumare;Sumare;Itatiba;Neide;Not Named
Americana;Americana;Sumare;Santa Barbara;Americana;33;Seila2;Jose;Itatiba;Campinas;Americana;Americana;Seila;72;Campinas
Itatiba;Campinas;Americana;Sumare;Itatiba;Maria;Campinas;77;53;Americana;Seila;12;Itatiba;Americana;Maria
Santa Barbara;Santa Barbara;Seila;36;Maria;13;Americana;Sumare;Campinas;Maria;Santa Barbara;Itatiba;Sumare;51;Neide
65;Maria;52;Campinas;Santa Barbara;10;Santa Barbara;Itatiba;Itatiba;Campinas;Itatiba;Neide;37;16;Santa Barbara
57;49;Jose;Campinas;Itatiba;16;Maria;Jose;Maria;Sumare;Itatiba;35;57;Campinas;Campinas
Santa Barbara;Campinas;Seila;Jose;48;Neide;Campinas;Americana;63;Maria;38;Itatiba;Seila2;Maria;Campinas
Itatiba;23;62;Americana;Campinas;Maria;Seila2;12;35;42;Santa Barbara;Campinas;Campinas;Americana;Neide
Not Named;Americana;Americana;Itatiba;65;Campinas;Campinas;Maria;38;Americana;Americana;25;Americana;Santa Barbara;Itatiba
Americana;38;Maria;Neide;77;Maria;Jose;Santa Barbara;25;Maria;Santa Barbara;Campinas;Seila;Itatiba;Itatiba
Campinas;Campinas;Americana;26;27;Seila2;75;Americana;Campinas;46;Seila2;Campinas;28;Sumare;Neide
Americana;Seila2;Neide;48;Jose;Sumare;Itatiba;Campinas;14;Neide;Neide;Itatiba;47;Campinas;Americana
Maria;Itatiba;Itatiba;Seila;Jose;Americana;Americana;13;Itatiba;Campinas;Maria;Seila;13;Sumare;Jose
Americana;47;16;Americana;34;Americana;Campinas;Campinas;Neide;70;Americana;Itatiba;Santa Barbara;Campinas;Campinas
57;Itatiba;Jose;Neide;Itatiba;Sumare;Campinas;Itatiba;Seila;Americana;Americana;Itatiba;Neide;Sumare;47
44;Itatiba;Campinas;Seila2;Americana;Campinas;Sumare;Americana;Seila2;Seila;Americana;Sumare;Itatiba;Sumare;Maria
56;Campinas;Santa Barbara;73;Itatiba;65;Maria;Seila2;23;Campinas;Americana;Sumare;Seila2;22;37
Itatiba;17;Campinas;Santa Barbara;Campinas;Sumare;Itatiba;Neide;Not Named;Neide;45;23;Itatiba;Sumare;Santa Barbara
Seila2;75;54;Sumare;Jose;Santa Barbara;Campinas;Santa Barbara;Itatiba;Jose;Santa Barbara;Neide;Campinas;Sumare;Not Named
62;Maria;Sumare;55;Sumare;23;17;Americana;Santa Barbara;Campinas;47;Seila;Seila2;Americana;Seila2
40;59;Americana;Campinas;Maria;Itatiba;Itatiba;Itatiba;Maria;Sumare;Itatiba;10;Seila2;Santa Barbara;Itatiba
Seila;Sumare;Itatiba;Santa Barbara;61;Americana;Itatiba;Campinas;Seila2;Maria;36;Santa Barbara;30;51;Sumare
Americana;Campinas;Itatiba;29;Neide;Campinas;Campinas;Americana;Maria;Santa Barbara;Americana;Itatiba;Americana;Sumare;Seila
Americana;Seila2;Santa Barbara;Americana;Jose;Not Named;Santa Barbara;Santa Barbara;Jose;Itatiba;57;Maria;Campinas;Campinas;Campinas
69;42;27;Campinas;Itatiba;12;Campinas;Sumare;Americana;Seila2;Americana;49;Itatiba;22;Campinas
Sumare;Seila2;24;40;Itatiba;Sumare;Seila;Americana;72;32;Americana;Seila;Neide;50;Seila
78;Not Named;Americana;Seila2;Itatiba;Santa Barbara;Seila;71;Maria;48;65;Sumare;Jose;Seila;Not Named
Campinas;Americana;Campinas;Campinas;Americana;Not Named;36;Santa Barbara;31;Sumare;Americana;67;Campinas;75;Americana
28;Itatiba;Maria;Neide;Neide;Americana;Campinas;Itatiba;Maria;Seila;Campinas;34;Maria;11;Americana
19;38;Jose;Maria;Campinas;Itatiba;74;34;Seila;Itatiba;Neide;Americana;Maria;Seila;48
33;Itatiba;Itatiba;16;Campinas;Seila;Campinas;Seila2;Not Named;32;Americana;31;47;Americana;Itatiba
45;Seila;Maria;Americana;Maria;75;Maria;Sumare;71;Americana;Sumare;Sumare;Santa Barbara;Neide;52
59;25;Neide;Seila2;Americana;Americana;Americana;17;Neide;Sumare;Americana;Sumare;Campinas;Sumare;Santa Barbara
49;Neide;Santa Barbara;Santa Barbara;Itatiba;39;Itatiba;63;Itatiba;Sumare;Itatiba;42;Neide;Seila;60
Neide;Sumare;Neide;47;Sumare;Americana;Sumare;Americana;57;77;Santa Barbara;Campinas;44;Americana;Campinas
Itatiba;39;Santa Barbara;Campinas;17;Itatiba;26;Sumare;Sumare;74;Itatiba;47;Campinas;Campinas;Neide
Americana;Campinas;Campinas;61;Itatiba;Seila;Santa Barbara;31;78;Campinas;75;Maria;49;Seila;Campinas
Neide;Itatiba;Itatiba;32;Jose;Americana;57;35;Maria;Sumare;Campinas;Sumare;32;Campinas;Not Named
Sumare;Itatiba;70;71;Americana;Seila2;45;Santa Barbara;73;Sumare;Seila;Seila;Sumare;Santa Barbara;Itatiba
Not Named;Neide;77;Americana;Seila2;Neide;Seila;12;Itatiba;Americana;Campinas;Sumare;Campinas;Itatiba;70
Sumare;Campinas;78;Americana;65;Itatiba;Neide;Campinas;Maria;Seila;75;49;Sumare;Campinas;Americana
Campinas;Not Named;Seila;Itatiba;Itatiba;Seila;20;47;Neide;38;27;Santa Barbara;59;Itatiba;Itatiba
49;Itatiba;Not Named;Campinas;Maria;Sumare;40;Americana;Neide;61;Seila;Itatiba;Maria;Seila;58
Seila2;28;Santa Barbara;Campinas;67;Seila;Neide;32;Campinas;53;Neide;Itatiba;Maria;Americana;Itatiba
Sumare;Campinas;Americana;Seila;36;Maria;Seila2;Santa Barbara;67;71;Americana;75;Campinas;Sumare;Santa Barbara
Seila2;Americana;Americana;Campinas;Americana;Sumare;Campinas;Maria;Americana;Americana;28;Campinas;Seila;Neide;Neide
Campinas;Sumare;Americana;Campinas;Not Named;Campinas;Campinas;Sumare;Itatiba;Neide;Seila2;Seila;Sumare;21;Jose
Neide;Sumare;Seila;Itatiba;Seila;72;Itatiba;71;Not Named;44;Santa Barbara;Campinas;Jose;Americana;Americana
61;22;Itatiba;16;60;74;12;Campinas;Seila2;68;71;Campinas;Maria;32;Seila
Itatiba;Americana;Itatiba;Americana;Not Named;Campinas;Santa Barbara;Campinas;Not Named;Campinas;Americana;65;Neide;46;Sumare
Seila2;Americana;Campinas;Itatiba;Americana;Americana;68;Seila2;Seila;Seila2;Santa Barbara;Itatiba;Santa Barbara;Maria;Santa Barbara
Campinas;Campinas;Maria;Itatiba;Seila2;Santa Barbara;Itatiba;36;Seila;Santa Barbara;Neide;Americana;Campinas;Jose;Americana
Americana;Campinas;Campinas;19;Americana;Sumare;Campinas;Campinas;Santa Barbara;Americana;Itatiba;Americana;42;Itatiba;44
Americana;Maria;Americana;Campinas;19;21;Itatiba;58;Americana;43;Seila2;Santa Barbara;63;Campinas;Santa Barbara
Campinas;Seila2;63;Jose;Itatiba;Sumare;44;52;Jose;Itatiba;Itatiba;Itatiba;51;Americana;Jose
Americana;Seila2;Santa Barbara;Itatiba;Not Named;47;Itatiba;Americana;Itatiba;Seila2;Sumare;56;35;Itatiba;Campinas
17;25;Seila;Campinas;Neide;75;Campinas;Santa Barbara;Americana;Itatiba;Jose;Americana;Not Named;Sumare;Maria
31;Sumare;38;Jose;Americana;Itatiba;Itatiba;Americana;67;Neide;Campinas;Santa Barbara;Sumare;Itatiba;Seila
Campinas;Americana;Campinas;Seila2;Campinas;Neide;Seila;Neide;69;Campinas;Itatiba;Santa Barbara;Campinas;Itatiba;Neide
Santa Barbara;Not Named;Americana;68;45;Americana;Seila;Neide;Neide;Santa Barbara;Sumare;Jose;Itatiba;Santa Barbara;Campinas
Itatiba;Itatiba;Maria;Not Named;26;Sumare;Itatiba;Santa Barbara;Americana;Campinas;Not Named;Americana;Campinas;Sumare;Itatiba
Campinas;68;Campinas;Itatiba;51;19;Itatiba;Neide;26;Americana;Sumare;Itatiba;62;Not Named;76
46;Not Named;Campinas;Americana;Maria;Seila;47;Sumare;Neide;Americana;Seila2;32;Not Named;28;Itatiba
Maria;Jose;Americana;Itatiba;Jose;Itatiba;Seila;Santa Barbara;Seila;Americana;54;Americana;Itatiba;Neide;Campinas
Jose;Americana;Itatiba;Itatiba;Campinas;Neide;Seila2;Maria;Seila2;Campinas;Americana;57;Campinas;Sumare;36
Seila;Itatiba;Neide;Sumare;Americana;Santa Barbara;53;Seila2;52;Neide;Campinas;Itatiba;Maria;Maria;Itatiba
Sumare;Itatiba;52;Campinas;Itatiba;66;38;Santa Barbara;Americana;16;Seila2;Itatiba;35;Americana;Sumare
Americana;Campinas;14;Campinas;65;Campinas;Itatiba;48;53;Santa Barbara;52;Campinas;Campinas;Jose;Campinas
Itatiba;Seila2;Santa Barbara;Sumare;Itatiba;Campinas;Americana;Sumare;53;47;Santa Barbara;Seila;Neide;Campinas;Itatiba
36;Neide;34;Seila2;Sumare;Itatiba;Americana;Itatiba;Santa Barbara;Santa Barbara;Seila2;Americana;Not Named;Santa Barbara;Itatiba
Not Named;57;Jose;Campinas;Americana;Sumare;52;Santa Barbara;64;Sumare;Campinas;Americana;Neide;Americana;33
Sumare;Santa Barbara;Maria;23;Campinas;70;72;Seila2;Itatiba;Seila2;26;Americana;58;40;Americana
Itatiba;Seila;Americana;Maria;74;Not Named;Itatiba;Neide;70;Americana;48;Seila2;Seila2;Americana;Americana
Maria;Itatiba;14;25;60;Neide;Not Named;63;Jose;Santa Barbara;Americana;75;Americana;Itatiba;20
Itatiba;23;18;Santa Barbara;Sumare;Not Named;49;Americana;76;Santa Barbara;37;Americana;Sumare;Jose;Campinas
Americana;Jose;Americana;Seila2;45;Campinas;14;45;Santa Barbara;Neide;Campinas;65;Santa Barbara;65;Jose
Santa Barbara;Neide;Santa Barbara;31;51;Jose;Itatiba;Sumare;59;Americana;Americana;Sumare;Santa Barbara;18;Campinas
Maria;Campinas;Americana;33;Sumare;50;Seila2;Neide;55;Maria;Seila;Maria;Seila2;22;30
Campinas;Santa Barbara;Seila2;Neide;68;Itatiba;Campinas;18;Not Named;Campinas;40;Maria;Seila2;Itatiba;72
Itatiba;32;57;Sumare;Maria;Americana;Not Named;Seila2;Campinas;Campinas;69;17;Americana;72;Campinas
Sumare;Neide;Itatiba;Sumare;Seila;Itatiba;Itatiba;34;Seila2;Itatiba;Itatiba;Itatiba;34;Seila;71
Seila2;Sumare;Itatiba;Itatiba;Itatiba;Not Named;Campinas;Neide;Seila;Neide;Neide;Americana;Itatiba;Seila2;Seila2
Campinas;Maria;Itatiba;Neide;Campinas;Itatiba;Not Named;Itatiba;18;Maria;Campinas;Sumare;45;Santa Barbara;43
Seila2;55;Americana;26;48;Campinas;Santa Barbara;Sumare;Americana;49;Itatiba;Maria;13;Itatiba;Americana
Neide;Seila;Campinas;Americana;Seila2;Americana;65;Santa Barbara;Campinas;51;Sumare;Seila;Santa Barbara;Neide;48
Itatiba;Campinas;Seila2;Campinas;Itatiba;22;Seila2;Santa Barbara;Seila2;Americana;Not Named;Not Named;65;Santa Barbara;Itatiba
Itatiba;38;Seila;Maria;Campinas;Seila2;Seila;28;Santa Barbara;Americana;Seila2;Campinas;Seila2;Sumare;Neide
Seila;Neide;31;26;Neide;Not Named;Maria;Seila;Campinas;73;57;24;Santa Barbara;Campinas;Neide
Maria;Campinas;Americana;18;Seila2;Neide;Americana;Sumare;28;Seila;47;Seila;Seila2;19;Maria
64;Campinas;Seila;20;Americana;Maria;60;Campinas;Sumare;29;Neide;Campinas;Campinas;Campinas;63
Seila2;Americana;Seila2;12;34;Itatiba;Campinas;Itatiba;Itatiba;Campinas;73;48;19;Neide;Seila
Seila2;Santa Barbara;Americana;Neide;27;Jose;Itatiba;Seila;Itatiba;Americana;Seila;Not Named;Itatiba;60;Seila2
Itatiba;Campinas;Americana;Not Named;Campinas;Sumare;Itatiba;Americana;Itatiba;Not Named;Maria;Santa Barbara;Campinas;Neide;61
Campinas;Jose;Campinas;Campinas;12;Campinas;Campinas;58;Seila;15;20;Santa Barbara;Seila2;Americana;29
Itatiba;Americana;72;Americana;23;Itatiba;Neide;43;Americana;Seila2;Maria;Sumare;Jose;Campinas;Itatiba
Itatiba;Seila2;Campinas;Sumare;Sumare;Sumare;Not Named;Campinas;Americana;35;76;Campinas;Itatiba;Jose;Neide
Maria;Itatiba;16;Neide;27;Seila2;Neide;Seila;62;Itatiba;Seila;41;Neide;Sumare;Campinas
Itatiba;31;Santa Barbara;Seila2;35;Campinas;Sumare;Americana;13;32;Campinas;Santa Barbara;Sumare;Seila;28
27;Itatiba;Campinas;76;Neide;41;Itatiba;Santa Barbara;Jose;Americana;Seila;Campinas;Itatiba;Americana;Seila
Itatiba;69;15;Not Named;32;Seila;Maria;Sumare;Maria;Santa Barbara;48;Seila2;Campinas;Americana;Santa Barbara
Sumare;53;Seila2;Maria;35;Itatiba;Neide;Sumare;18;Seila;Seila2;Seila2;Maria;Itatiba;63
Itatiba;Campinas;Maria;35;Jose;Itatiba;Seila;Santa Barbara;Americana;Santa Barbara;Sumare;Itatiba;Neide;77;Neide
54;15;Santa Barbara;Americana;29;Americana;Campinas;Sumare;Santa Barbara;Santa Barbara;Maria;27;Seila;19;23
Itatiba;Seila2;Jose;Seila2;Seila2;Americana;Americana;Seila2;Itatiba;Santa Barbara;Sumare;Neide;15;Maria;Santa Barbara
Santa Barbara;Santa Barbara;57;Seila;Americana;Neide;Americana;Americana;Americana;57;Americana;Campinas;Itatiba;Itatiba;Campinas
Seila;Santa Barbara;Americana;Sumare;Campinas;Americana;Seila2;37;Campinas;Itatiba;Santa Barbara;Neide;Americana;Santa Barbara;Campinas
Itatiba;Itatiba;Sumare;Seila;Campinas;Americana;Sumare;18;Seila;38;Americana;Maria;46;Americana;Itatiba
Sumare;50;Seila2;59;Campinas;Itatiba;Itatiba;43;Not Named;Maria;51;Itatiba;Sumare;Seila;Americana
Campinas;55;Itatiba;Sumare;Sumare;Maria;Americana;13;31;Santa Barbara;Seila;Maria;Neide;56;52
Santa Barbara;30;Itatiba;Americana;Itatiba;Maria;Campinas;23;Americana;Sumare;Americana;Not Named;Maria;Campinas;Sumare
Jose;Maria;Campinas;Not Named;22;Seila2;Santa Barbara;Neide;Sumare;39;Americana;Itatiba;Neide;Seila;Campinas
Maria;65;Santa Barbara;Itatiba;60;Neide;Neide;Seila;59;Seila;Seila;Jose;Jose;53;Not Named
Maria;Americana;Campinas;Campinas;Americana;Seila;Jose;Not Named;Sumare;Seila2;Americana;Seila2;Itatiba;Sumare;59
Americana;Santa Barbara;Seila;58;Seila2;Seila;67;Campinas;Campinas;Sumare;58;Itatiba;Campinas;Sumare;Sumare
55;78;68;Sumare;Americana;Campinas;Itatiba;33;Campinas;24;Itatiba;52;78;Americana;Campinas
Sumare;Sumare;Jose;Americana;Neide;Itatiba;75;Seila;Americana;Campinas;Jose;Americana;Campinas;Santa Barbara;Itatiba
Itatiba;Seila2;Campinas;Seila2;Campinas;52;44;Itatiba;34;Seila2;Americana;Seila;Campinas;Itatiba;12
Americana;Americana;Jose;Americana;Neide;Campinas;Neide;Seila2;13;Itatiba;26;77;32;Americana;Santa Barbara
Americana;Seila;Americana;Americana;75;Santa Barbara;Maria;67;Jose;Seila2;Seila2;Maria;55;Maria;Itatiba
Itatiba;59;68;22;10;37;11;Campinas;Americana;54;Santa Barbara;Americana;Neide;35;Campinas
Maria;Campinas;76;Maria;13;Seila2;Americana;Sumare;42;Campinas;Sumare;Itatiba;Seila;Itatiba;Americana
Seila;78;Americana;Seila2;61;Maria;45;Campinas;Santa Barbara;Maria;Maria;59;Americana;Americana;Itatiba
Itatiba;Campinas;Itatiba;Seila2;Not Named;Not Named;37;Sumare;Americana;Itatiba;77;Seila;Not Named;62;Americana
Itatiba;Sumare;Seila2;Santa Barbara;Maria;Maria;Sumare;Itatiba;33;34;73;60;Neide;28;72
Sumare;Maria;Itatiba;Americana;Campinas;12;Itatiba;Campinas;Seila2;Not Named;Seila;74;73;Jose;Campinas
Americana;Itatiba;46;Santa Barbara;Seila;48;42;Campinas;67;Itatiba;35;16;Maria;Maria;Seila2
35;62;25;Seila;Americana;Not Named;Maria;47;Neide;Itatiba;Maria;Americana;Campinas;Itatiba;Santa Barbara
Maria;Seila;Campinas;Santa Barbara;64;Itatiba;Seila2;Seila2;42;Sumare;19;Itatiba;62;Not Named;11
43;21;Seila2;20;Americana;Sumare;42;Americana;76;Santa Barbara;33;Santa Barbara;Maria;Americana;Campinas
53;Americana;Seila;74;Seila;Campinas;Maria;48;Campinas;27;Campinas;15;Santa Barbara;Americana;62
Itatiba;34;30;62;Americana;12;Not Named;Itatiba;Santa Barbara;Itatiba;Santa Barbara;Campinas;Itatiba;Americana;Maria
75;72;Americana;73;Sumare;Santa Barbara;Maria;44;Seila2;Americana;45;Santa Barbara;Campinas;Itatiba;31
Seila2;Itatiba;39;Campinas;44;Sumare;Santa Barbara;Neide;Americana;Sumare;Sumare;26;Campinas;Not Named;49
Americana;Santa Barbara;Jose;Seila2;42;Campinas;Seila;Itatiba;Itatiba;65;74;Santa Barbara;Itatiba;Santa Barbara;Itatiba
Seila;31;Itatiba;Americana;Santa Barbara;52;Seila;35;65;Campinas;Americana;Americana;Itatiba;Maria;Itatiba
Santa Barbara;17;Americana;60;Santa Barbara;Itatiba;Americana;Itatiba;Campinas;36;Maria;38;Seila2;Americana;Itatiba
Seila;Americana;Americana;Itatiba;50;18;32;58;32;Campinas;Sumare;Campinas;53;Itatiba;Santa Barbara
Campinas;Itatiba;Americana;Americana;Americana;Sumare;Santa Barbara;Campinas;Sumare;Itatiba;Itatiba;Campinas;Americana;Americana;Americana
Not Named;Sumare;59;Americana;25;52;34;Neide;33;Seila2;58;16;Americana;72;Maria
Campinas;27;77;Neide;Neide;Santa Barbara;Itatiba;21;Campinas;Americana;Campinas;Santa Barbara;Sumare;Itatiba;Campinas
59;Neide;Campinas;Santa Barbara;Sumare;Campinas;Americana;Itatiba;Campinas;67;27;Itatiba;56;Not Named;Americana
Campinas;Campinas;Seila2;Itatiba;48;74;59;Santa Barbara;55;Itatiba;46;Sumare;Itatiba;Campinas;32
Santa Barbara;Seila2;69;Americana;58;Sumare;Maria;Americana;Jose;Campinas;61;Sumare;Americana;48;Campinas
Americana;36;Maria;Jose;Campinas;Santa Barbara;44;Americana;Campinas;Americana;Americana;61;Americana;Neide;Santa Barbara
Neide;19;Campinas;Seila;Americana;Maria;Campinas;Itatiba;Itatiba;Seila2;Itatiba;Jose;Seila2;12;73
Sumare;Neide;Americana;41;Americana;Itatiba;Itatiba;Seila2;Campinas;Santa Barbara;37;Itatiba;Campinas;Itatiba;Itatiba
Maria;Americana;Itatiba;Sumare;Maria;Seila2;26;Seila;Campinas;Itatiba;47;Santa Barbara;Itatiba;Maria;Americana
29;Maria;Itatiba;Santa Barbara;Campinas;Santa Barbara;Campinas;51;21;Maria;56;Campinas;Campinas;Itatiba;Americana
33;Jose;Americana;Not Named;69;Americana;Americana;Santa Barbara;11;Seila;Itatiba;53;Campinas;Santa Barbara;31
Santa Barbara;Seila;Itatiba;Itatiba;32;Campinas;Seila;Santa Barbara;Campinas;66;Neide;Americana;Santa Barbara;39;Americana
Campinas;Itatiba;Maria;44;Neide;Not Named;49;Itatiba;22;38;Seila2;Campinas;Campinas;68;Itatiba
Campinas;Itatiba;Americana;46;Neide;Itatiba;Seila2;Sumare;Neide;Americana;14;47;49;Neide;Itatiba
27;Campinas;59;29;51;Americana;Maria;71;10;Campinas;Itatiba;Sumare;Sumare;Santa Barbara;Seila
Neide;Santa Barbara;23;Campinas;31;Campinas;35;60;Seila2;Santa Barbara;Not Named;Seila;49;Campinas;Itatiba
Jose;Maria;66;Itatiba;53;Itatiba;70;73;Santa Barbara;Americana;Campinas;17;Itatiba;Maria;Maria
Jose;Campinas;Sumare;Sumare;Maria;Campinas;73;Itatiba;Maria;23;Americana;Sumare;Neide;Not Named;62
Itatiba;Americana;Campinas;Neide;77;Santa Barbara;18;13;Campinas;Maria;Itatiba;Maria;Santa Barbara;Campinas;Santa Barbara
Itatiba;Santa Barbara;18;Sumare;Americana;Itatiba;Campinas;Americana;Seila2;Americana;29;Seila2;46;66;38
Americana;Seila2;12;Neide;Sumare;Itatiba;Americana;Itatiba;Santa Barbara;Itatiba;Americana;Itatiba;20;Itatiba;Itatiba
Seila2;Campinas;Santa Barbara;33;Sumare;Americana;Americana;Americana;72;Seila;Santa Barbara;Campinas;Campinas;Seila2;12
Campinas;Itatiba;Neide;Itatiba;Seila;Americana;Seila2;Itatiba;Campinas;Jose;Americana;51;Santa Barbara;Americana;78
34;32;Itatiba;54;Jose;Campinas;Campinas;63;Maria;Sumare;Itatiba;Maria;Jose;Neide;Americana
Americana;Campinas;Sumare;Itatiba;Jose;Santa Barbara;Itatiba;Seila;Campinas;Not Named;Campinas;Santa Barbara;Itatiba;Neide;Itatiba
Maria;Seila2;Neide;15;61;50;Itatiba;Itatiba;71;Campinas;Campinas;Neide;56;75;Maria
51;Campinas;43;Campinas;Maria;71;78;Maria;Americana;Not Named;Americana;Neide;51;37;Itatiba
Itatiba;40;22;Santa Barbara;Maria;Santa Barbara;15;46;Campinas;Itatiba;35;58;Seila2;Neide;20
11;Sumare;Campinas;Americana;Maria;Itatiba;Campinas;Sumare;Sumare;Sumare;42;Santa Barbara;21;Sumare;Neide
Seila;32;Sumare;Seila2;Jose;23;14;Campinas;50;Campinas;Neide;Itatiba;72;67;Americana
76;Americana;Americana;Campinas;Seila;60;Santa Barbara;Santa Barbara;13;Sumare;Americana;Santa Barbara;74;Sumare;Not Named
42;Americana;Itatiba;Jose;Seila;Campinas;Neide;Itatiba;Campinas;Seila2;60;56;Neide;Campinas;Americana
Seila2;Itatiba;Santa Barbara;53;Itatiba;Santa Barbara;Campinas;Santa Barbara;Campinas;Campinas;Jose;Neide;68;Campinas;Santa Barbara
Campinas;Not Named;Campinas;41;Itatiba;Itatiba;15;Santa Barbara;Sumare;Jose;Itatiba;25;Maria;Jose;40
Americana;Maria;Americana;Seila2;62;21;61;Itatiba;Neide;43;Americana;75;15;Not Named;Maria
Americana;Sumare;Americana;Sumare;Itatiba;Campinas;Sumare;Campinas;Sumare;Americana;69;Itatiba;Seila;Seila2;Campinas
Americana;Campinas;Americana;Seila;Neide;Sumare;Americana;13;Americana;77;Maria;Neide;Neide;17;Sumare
Itatiba;Itatiba;Seila2;Americana;Seila;Americana;Seila;Itatiba;Americana;Itatiba;58;Americana;Neide;Neide;Maria
Campinas;Itatiba;29;77;63;Jose;Campinas;54;Campinas;52;Seila2;76;Americana;Maria;Sumare
Campinas;Seila2;Santa Barbara;26;Campinas;Itatiba;Campinas;Itatiba;Santa Barbara;Not Named;Santa Barbara;Itatiba;50;Sumare;27
Itatiba;Neide;54;Santa Barbara;Campinas;Campinas;74;Sumare;Itatiba;Jose;Neide;46;71;Itatiba;Sumare
Seila2;Campinas;Americana;Santa Barbara;Campinas;Santa Barbara;Seila2;Sumare;13;Itatiba;Seila;Itatiba;63;Americana;Neide
Campinas;20;Campinas;77;Not Named;40;Seila2;Seila2;51;Itatiba;Itatiba;73;13;46;Santa Barbara
Seila;Itatiba;36;Maria;Santa Barbara;24;23;Santa Barbara;Seila2;Not Named;Itatiba;13;Not Named;Maria;66
Americana;60;Seila2;Seila2;Maria;Campinas;Americana;Jose;Itatiba;Neide;Campinas;Maria;60;Santa Barbara;Americana
Americana;Not Named;Not Named;Seila2;Americana;33;Americana;55;14;Itatiba;Itatiba;33;42;Sumare;Itatiba
Sumare;Neide;Neide;Seila2;Campinas;Itatiba;34;Campinas;Campinas;43;Maria;Americana;Seila2;Sumare;Neide
Americana;Santa Barbara;Seila2;Santa Barbara;Campinas;Campinas;Campinas;Campinas;Itatiba;69;34;Seila;Not Named;Campinas;Itatiba
73;Campinas;Itatiba;Campinas;53;22;Maria;Maria;Jose;Jose;56;Santa Barbara;Campinas;Itatiba;69
Seila2;Campinas;Seila;Itatiba;Neide;Americana;Itatiba;Sumare;Seila2;Americana;Itatiba;17;Itatiba;Campinas;Itatiba
Neide;Americana;Americana;30;Seila;Campinas;59;Campinas;Seila;Americana;24;Sumare;Americana;37;Americana
Itatiba;Itatiba;Campinas;Itatiba;Americana;Seila2;76;Campinas;Itatiba;43;75;Sumare;Itatiba;Itatiba;Jose
Santa Barbara;Itatiba;30;Neide;Santa Barbara;Seila2;74;74;Jose;16;11;Seila;Campinas;Americana;Americana
Seila2;39;Campinas;Neide;Seila;Santa Barbara;Itatiba;31;38;Santa Barbara;Seila2;Sumare;Itatiba;Campinas;Neide
Americana;Americana;Itatiba;Campinas;Seila2;Santa Barbara;Americana;Santa Barbara;Americana;Seila;Santa Barbara;54;Itatiba;30;Americana
Americana;Seila;Campinas;Maria;Sumare;50;Maria;Campinas;Itatiba;Campinas;Maria;Americana;Maria;Itatiba;Seila
Itatiba;72;Itatiba;24;51;67;Maria;Americana;Seila2;Itatiba;26;Itatiba;Campinas;Seila;51
16;Seila;68;69;Not Named;26;Americana;Americana;Neide;Sumare;76;Sumare;Campinas;50;52
Sumare;Santa Barbara;Itatiba;Campinas;Itatiba;20;24;28;Campinas;44;Itatiba;19;Maria;16;Santa Barbara
Itatiba;Neide;35;Americana;Seila;Itatiba;Campinas;Maria;Seila2;32;Seila2;Americana;Campinas;55;30
Seila;Itatiba;Itatiba;17;Not Named;Campinas;Seila;Campinas;Neide;14;Not Named;60;Campinas;Jose;Campinas
Not Named;Santa Barbara;Campinas;Campinas;Itatiba;Itatiba;Santa Barbara;Maria;Not Named;14;17;73;Seila;Campinas;Maria
Itatiba;Seila2;Itatiba;28;Americana;Jose;Santa Barbara;15;33;64;Sumare;Americana;Seila2;Not Named;Neide
Maria;Seila;37;Maria;Not Named;Santa Barbara;Campinas;Campinas;38;Americana;Maria;Americana;Campinas;Americana;38
Americana;50;Sumare;16;Campinas;17;Campinas;Maria;Neide;Santa Barbara;53;Campinas;Neide;Neide;Campinas
Campinas;Neide;Campinas;Sumare;Not Named;Campinas;Americana;Americana;38;Seila;Itatiba;Campinas;Americana;Americana;Campinas
36;Campinas;Campinas;Neide;12;Not Named;Santa Barbara;Campinas;Santa Barbara;26;29;Campinas;Seila;62;Seila
Americana;Campinas;Jose;32;Sumare;54;36;72;37;Itatiba;Itatiba;29;Seila;52;Seila2
Neide;Seila2;Campinas;Santa Barbara;78;Itatiba;Americana;Santa Barbara;Maria;Maria;Itatiba;Campinas;Itatiba;25;Americana
59;Itatiba;Itatiba;53;Neide;Seila;Not Named;Itatiba;Americana;67;Seila2;Itatiba;Americana;20;Seila
Not Named;Campinas;Campinas;55;Americana;46;44;Sumare;Seila2;Neide;Jose;Itatiba;Seila2;Seila2;Seila2
73;Americana;40;Americana;34;Seila;Itatiba;Neide;Campinas;45;Santa Barbara;Maria;Santa Barbara;Seila;43
